Best Full Match	Pubyear	Distinct count of Best Full Match	Number of Records	Percent of Publications
infantile autism	1989	1	1	0.00337815
autistic disorder	1989	1	2	0.0067563
autism	1989	1	2	0.0067563
autistic disorder	1991	1	1	0.00337815
autism	1991	1	1	0.00337815
asperger's syndrome	1991	1	1	0.00337815
infantile autism	1994	1	1	0.00337815
autistic disorder	1994	1	1	0.00337815
autism	1994	1	5	0.016890751
autistic disorder	2002	1	2	0.0067563
autism	2002	1	9	0.030403351
asperger's syndrome	2002	1	1	0.00337815
autistic disorder	2004	1	1	0.00337815
autism	2004	1	11	0.037159651
asperger's disorder	2004	1	1	0.00337815
autistic disorder	2005	1	2	0.0067563
autism	2005	1	17	0.057428552
asperger's syndrome	2005	1	1	0.00337815
infantile autism	1983	1	1	0.00337815
autism	1983	1	1	0.00337815
infantile autism	1985	1	1	0.00337815
autism	1985	1	5	0.016890751
infantile autism	1986	1	2	0.0067563
autism	1986	1	3	0.01013445
infantile autism	1988	1	1	0.00337815
autism	1988	1	6	0.020268901
autistic disorder	1990	1	1	0.00337815
autism	1990	1	5	0.016890751
autistic disorder	1992	1	1	0.00337815
autism	1992	1	10	0.033781501
infantile autism	1993	1	1	0.00337815
autism	1993	1	7	0.023647051
infantile autism	1995	1	1	0.00337815
autism	1995	1	7	0.023647051
autistic disorder	1996	1	2	0.0067563
autism	1996	1	3	0.01013445
autistic disorder	2001	1	2	0.0067563
autism	2001	1	12	0.040537801
autism	2003	1	4	0.0135126
asperger's syndrome	2003	1	1	0.00337815
autism	2006	1	26	0.087831903
asperger's syndrome	2006	1	1	0.00337815
autism	2007	1	38	0.128369705
asperger's syndrome	2007	1	2	0.0067563
autism	2008	1	51	0.172285656
asperger's syndrome	2008	1	1	0.00337815
autism	2009	1	45	0.152016756
asperger's syndrome	2009	1	1	0.00337815
autistic disorder	2011	1	1	0.00337815
autism	2011	1	61	0.206067158
autistic disorder	2012	1	1	0.00337815
autism	2012	1	60	0.202689007
autism	2013	1	75	0.253361259
asperger's disorder	2013	1	1	0.00337815
autism	1980	1	1	0.00337815
infantile autism	1981	1	1	0.00337815
autism	1982	1	1	0.00337815
infantile autism	1984	1	1	0.00337815
autism	1997	1	8	0.027025201
autism	1998	1	5	0.016890751
autism	1999	1	5	0.016890751
asperger's disorder	2000	1	1	0.00337815
autism	2010	1	43	0.145260455
autism	2014	1	81	0.27363016
autism	2015	1	26	0.087831903
